,상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
4336,16428310,만천스크린골프,,P,스포츠,P02,실내운동시설,P02A10,실내골프연습장,R91136,골프연습장 운영업,42,강원도,42110,춘천시,4211031000,동면,4211031022.0,동면,4211031022207030002,1,대지,703,2.0,강원도 춘천시 동면 만천리 703-2,421103218038,강원도 춘천시 동면 춘천순환로,497,,4211031022107030002000001,,강원도 춘천시 동면 춘천순환로 497,200852,24215.0,나,2,,127.762519017599,37.8846716097759
4349,16423922,플렉스,,P,스포츠,P02,실내운동시설,P02A01,체육관,R91131,종합 스포츠시설 운영업,42,강원도,42110,춘천시,4211065000,석사동,4211012400.0,석사동,4211012400206530000,1,대지,653,,강원도 춘천시 석사동 653,421103218049,강원도 춘천시 후석로,43,,4211012400106530000016369,,강원도 춘천시 후석로 43,200935,24385.0,,5,,127.741532994106,37.8585516184092
4399,16103139,조아서프,,P,스포츠,P01,운영관리시설,P01A11,기타경기후원업/경기단체,R91199,그외 기타 스포츠 서비스업,42,강원도,42830,양양군,4283034000,현남면,4283034024.0,현남면,4283034024200380009,1,대지,38,9.0,강원도 양양군 현남면 시변리 38-9,428304505163,강원도 양양군 현남면 인구중앙길,79,,4283034024100380009000915,용촌불가마,강원도 양양군 현남면 인구중앙길 79,215842,25053.0,,1,,128.75944108599,37.9715348691155
4433,16421245,더윈실내골프연습장,,P,스포츠,P02,실내운동시설,P02A10,실내골프연습장,R91136,골프연습장 운영업,42,강원도,42130,원주시,4213055000,단구동,4213010700.0,단구동,4213010700216070004,1,대지,1607,4.0,강원도 원주시 단구동 1607-4,421303219013,강원도 원주시 단구로,354,3.0,4213010700116070004000001,,강원도 원주시 단구로 354-3,220965,26487.0,,2,,127.957434902708,37.3248237201487
4481,16419734,리미트릭스마샬아츠트릭킹아크로바틱센터,,P,스포츠,P02,실내운동시설,P02A01,체육관,R91131,종합 스포츠시설 운영업,42,강원도,42130,원주시,4213066000,무실동,4213011500.0,무실동,4213011500218550002,1,대지,1855,2.0,강원도 원주시 무실동 1855-2,421304517922,강원도 원주시 능라동길,48,1.0,4213011500118550002000001,,강원도 원주시 능라동길 48-1,220150,26392.0,,6,,127.929713484616,37.3341280290018
4677,16416836,건승,,P,스포츠,P02,실내운동시설,P02A01,체육관,R91131,종합 스포츠시설 운영업,42,강원도,42150,강릉시,4215058000,초당동,4215011200.0,초당동,4215011200201280000,1,대지,128,,강원도 강릉시 초당동 128,421504460953,강원도 강릉시 초당원길,26,2.0,4215011200101280000016656,초당현대아파트,강원도 강릉시 초당원길 26-2,210747,25469.0,103,,,128.91778393717,37.7838355718038
4698,16427277,크로스핏BNK혁신,,P,스포츠,P02,실내운동시설,P02A13,헬스클럽,R91132,체력단련시설 운영업,42,강원도,42130,원주시,4213067500,반곡관설동,4213011700.0,반곡동,4213011700219010001,1,대지,1901,1.0,강원도 원주시 반곡동 1901-1,421303219085,강원도 원주시 양지로,70,,4213011700119010001000001,,강원도 원주시 양지로 70,220170,26462.0,,7,,127.985745199774,37.3274347408775
4819,16424228,웰스포휘트니스,,P,스포츠,P02,실내운동시설,P02A13,헬스클럽,R91132,체력단련시설 운영업,42,강원도,42150,강릉시,4215025000,주문진읍,4215025022.0,주문진읍,4215025022201200023,1,대지,120,23.0,강원도 강릉시 주문진읍 교항리 120-23,421503220020,강원도 강릉시 주문진읍 신리천로,26,,4215025022101200023033229,,강원도 강릉시 주문진읍 신리천로 26,210801,25419.0,,2,,128.827559773237,37.8852101131215
4858,16421816,팀바디매스,,P,스포츠,P02,실내운동시설,P02A13,헬스클럽,R91132,체력단련시설 운영업,42,강원도,42110,춘천시,4211066000,퇴계동,4211012300.0,퇴계동,4211012300210170000,1,대지,1017,,강원도 춘천시 퇴계동 1017,421103218035,강원도 춘천시 지석로,80,,4211012300110170000070367,,강원도 춘천시 지석로 80,200965,24420.0,,1,,127.743742788555,37.8505192424444
5106,16100983,메이크바디,,P,스포츠,P02,실내운동시설,P02A13,헬스클럽,R91132,체력단련시설 운영업,42,강원도,42110,춘천시,4211066000,퇴계동,4211012300.0,퇴계동,4211012300203950079,1,대지,395,79.0,강원도 춘천시 퇴계동 395-79,421104454733,강원도 춘천시 퇴계로93번길,15,,4211012300103390040000001,,강원도 춘천시 퇴계로93번길 15,200943,24376.0,,,,127.731594915031,37.8631967256478
5156,16101335,H휘트니스,,P,스포츠,P02,실내운동시설,P02A13,헬스클럽,R91132,체력단련시설 운영업,42,강원도,42110,춘천시,4211067500,강남동,4211012100.0,온의동,4211012100200520007,1,대지,52,7.0,강원도 춘천시 온의동 52-7,421103013022,강원도 춘천시 영서로,2333,,4211012100100520007019111,,강원도 춘천시 영서로 2333,200937,24433.0,,3,,127.716291325609,37.8677200593746
5161,16415976,질리히베이로주짓수원주스톤짐,,P,스포츠,P02,실내운동시설,P02A30,이종격투기,P85611,스포츠 교육기관,42,강원도,42130,원주시,4213054100,명륜1동,4213010600.0,명륜동,4213010600201150004,1,대지,115,4.0,강원도 원주시 명륜동 115-4,421303219011,강원도 원주시 남원로,645,,4213010600101150004005988,,강원도 원주시 남원로 645,220945,26441.0,,,,127.952798690621,37.3406455311873
5450,16414164,춘천실내테니스장,,P,스포츠,P03,실외운동시설,P03A10,테니스장,R91139,그외 기타 스포츠시설 운영업,42,강원도,42110,춘천시,4211065000,석사동,4211012400.0,석사동,4211012400201220008,1,대지,122,8.0,강원도 춘천시 석사동 122-8,421103218003,강원도 춘천시 공지로,25,,4211012400101220008015321,,강원도 춘천시 공지로 25,200933,24397.0,,,,127.753107883914,37.8499986285821
5451,16423082,크러쉬킥복싱,,P,스포츠,P02,실내운동시설,P02A18,킥복싱,P85611,스포츠 교육기관,42,강원도,42110,춘천시,4211061000,후평2동,4211012000.0,후평동,4211012000200670036,1,대지,67,36.0,강원도 춘천시 후평동 67-36,421103218013,강원도 춘천시 백령로,222,,4211012000100670036030897,,강원도 춘천시 백령로 222,200955,24282.0,,,,127.750308782082,37.8780598322111
6312,16428312,제이핏,,P,스포츠,P02,실내운동시설,P02A01,체육관,R91131,종합 스포츠시설 운영업,42,강원도,42130,원주시,4213055000,단구동,4213010700.0,단구동,4213010700215110002,1,대지,1511,2.0,강원도 원주시 단구동 1511-2,421302219001,강원도 원주시 서원대로,396,,4213010700115110002035092,스타월드,강원도 원주시 서원대로 396,220944,26484.0,,4,,127.94885527887,37.3307496608964
6581,22336037,드림레져,,P,스포츠,P03,실외운동시설,P03A19,래프팅,R91239,기타 수상오락 서비스업,42,강원도,42750,영월군,4275025000,영월읍,4275025026.0,영월읍,4275025026204930000,1,대지,493,,강원도 영월군 영월읍 거운리 493,427504481165,강원도 영월군 영월읍 어라연길,48,,4275025026104930000000001,,강원도 영월군 영월읍 어라연길 48,230890,26222.0,,,,128.517152706845,37.234644334523
7439,9092041,XTOP파워댄스,,P,스포츠,P02,실내운동시설,P02A99,기타실내운동시설,R91139,그외 기타 스포츠시설 운영업,42,강원도,42130,원주시,4213059000,단계동,4213011000.0,단계동,4213011000210840002,1,대지,1084,2.0,강원도 원주시 단계동 1084-2,421304457243,강원도 원주시 백간길,81,,4213011000110840002021538,단계장미아파트,강원도 원주시 백간길 81,220939,26411.0,,,,127.932326269329,37.3526744518662
7725,21688412,홀인원스크린골프,,P,스포츠,P02,실내운동시설,P02A10,실내골프연습장,R91136,골프연습장 운영업,42,강원도,42150,강릉시,4215055000,교1동,4215011000.0,교동,4215011000218710002,1,대지,1871,2.0,강원도 강릉시 교동 1871-2,421504460989,강원도 강릉시 하슬라로192번길,4,,4215011000118710002025378,,강원도 강릉시 하슬라로192번길 4,210100,25512.0,,,,128.875814669696,37.7666752199803
