시도,지역구분,차종,전체,차종,전체,차종,전체,총합,시군구,위도,경도
강원,홍천군,전기승용,50,전기승용,50,전기승용,50,117,강원 홍천군,37.6969518,127.8886827
강원,횡성군,전기승용,32,전기승용,32,전기승용,32,66,강원 횡성군,37.4917566,127.9849295
강원,영월군,전기승용,34,전기승용,34,전기승용,34,59,강원 영월군,37.183637,128.4617535
강원,평창군,전기승용,35,전기승용,35,전기승용,35,66,강원 평창군,37.370474,128.3899769
강원,정선군,전기승용,24,전기승용,24,전기승용,24,45,강원 정선군,37.3807549,128.6609505
강원,철원군,전기승용,34,전기승용,34,전기승용,34,66,강원 철원군,38.146609,127.3132256
강원,화천군,전기승용,20,전기승용,20,전기승용,20,47,강원 화천군,38.1056484,127.7080492
강원,양구군,전기승용,20,전기승용,20,전기승용,20,56,강원 양구군,38.1100701,127.9898825
강원,인제군,전기승용,38,전기승용,38,전기승용,38,53,강원 인제군,38.0694675,128.1706991
강원,고성군,전기승용,27,전기승용,27,전기승용,27,56,강원 고성군,38.3801292,128.4674385
강원,양양군,전기승용,29,전기승용,29,전기승용,29,44,강원 양양군,38.0753925,128.6188503
충북,청주시,전기승용,1104,전기승용,1104,전기승용,1104,1716,충북 청주시,36.6424341,127.4890319
충북,충주시,전기승용,467,전기승용,467,전기승용,467,738,충북 충주시,36.9910113,127.9259497
충북,제천시,전기승용,214,전기승용,214,전기승용,214,397,충북 제천시,37.1325821,128.1909481
충북,보은군,전기승용,27,전기승용,27,전기승용,27,76,충북 보은군,36.4894573,127.7294827
충북,옥천군,전기승용,53,전기승용,53,전기승용,53,125,충북 옥천군,36.3063646,127.5712809
충북,영동군,전기승용,46,전기승용,46,전기승용,46,105,충북 영동군,36.1750231,127.7834302
충북,증평군,전기승용,6,전기승용,6,전기승용,6,27,충북 증평군,36.7855019,127.5816556
충북,진천군,전기승용,104,전기승용,104,전기승용,104,194,충북 진천군,36.8553798,127.4361117
충북,괴산군,전기승용,28,전기승용,28,전기승용,28,82,충북 괴산군,36.815669,127.7865791
충북,음성군,전기승용,125,전기승용,125,전기승용,125,184,충북 음성군,36.9396792,127.6905018
충북,단양군,전기승용,53,전기승용,53,전기승용,53,131,충북 단양군,36.9845473,128.3655186
충남,천안시,전기승용,816,전기승용,816,전기승용,816,969,충남 천안시,36.815129,127.1138939
충남,공주시,전기승용,107,전기승용,107,전기승용,107,177,충남 공주시,36.4465346,127.1191534
